Date,International Petrol Production
Oct-96,215841.4
Nov-96,217401.4
Dec-96,219176.4
Jan-97,218787.1
Feb-97,220302.8
Mar-97,220284.1
Apr-97,221629.3
May-97,219633.9
Jun-97,217242.1
Jul-97,218758
Aug-97,221470
Sep-97,222810.2
Oct-97,224340.5
Nov-97,223869.5
Dec-97,223523.2
Jan-98,227834.6
Feb-98,229067.6
Mar-98,228471.6
Apr-98,228120.3
May-98,226215.4
Jun-98,225317.3
Jul-98,223961.3
Aug-98,221755
Sep-98,221862.3
Oct-98,222381.3
Nov-98,225263.3
Dec-98,224358.6
Jan-99,225271.8
Feb-99,226593.9
Mar-99,225470.8
Apr-99,221116.8
May-99,220637.8
Jun-99,217414.4
Jul-99,222294.7
Aug-99,222037.7
Sep-99,222350.9
Oct-99,224104.9
Nov-99,224135.9
Dec-99,222033.5
Jan-00,225223.5662
Feb-00,227008.1713
Mar-00,227074.6436
Apr-00,228984.656
May-00,230598.3748
Jun-00,229817.9214
Jul-00,231551.2157
Aug-00,234224.8654
Sep-00,234748.2827
Oct-00,235905.5405
Nov-00,237902.9869
Dec-00,232997.8084
Jan-01,233137.687
Feb-01,232767.2774
Mar-01,235035.6609
Apr-01,231940.6818
May-01,230059.4457
Jun-01,225375.7165
Jul-01,231313.7115
Aug-01,231837.5533
Sep-01,230517.0577
Oct-01,230429.0111
Nov-01,231950.216
Dec-01,229803.4805
Jan-02,228186.7518
Feb-02,228555.6535
Mar-02,227922.8277
Apr-02,226480.7685
May-02,228396.2898
Jun-02,227470.5743
Jul-02,228776.5039
Aug-02,228267.4872
Sep-02,229963.8105
Oct-02,234348.9201
Nov-02,235145.2837
Dec-02,229276.4052
Jan-03,230655.4511
Feb-03,236053.0348
Mar-03,237432.7398
Apr-03,234041.753
May-03,233874.4725
Jun-03,231729.6324
Jul-03,234274.0202
Aug-03,235877.0328
Sep-03,238229.7037
Oct-03,241455.6413
Nov-03,242482.0311
Dec-03,246384.5893
Jan-04,246013.0128
Feb-04,246035.5316
Mar-04,245765.5496
Apr-04,245367.0491
May-04,244097.1872
Jun-04,249082.8288
Jul-04,250922.3578
Aug-04,247692.6
Sep-04,249442.4574
Oct-04,252060.0357
Nov-04,251506.6656
Dec-04,250492.6728
Jan-05,251644.46
Feb-05,252807.963
Mar-05,253257.488
Apr-05,254515.816
May-05,255410.417
Jun-05,253969.647
Jul-05,253052.166
Aug-05,253743.11
Sep-05,251696.935
Oct-05,251641.432
Nov-05,254021.524
Dec-05,253142.795
Jan-06,253010.582
Feb-06,253162.269
Mar-06,252072.643
Apr-06,252987.37
May-06,252335.558
Jun-06,252296.902
Jul-06,256282.529
Aug-06,255642.322
Sep-06,254137.165
Oct-06,254936.461
Nov-06,253378.228
Dec-06,252543.873
Jan-07,251945.118
Feb-07,252833.723
Mar-07,252475.675
Apr-07,253734.754
May-07,252705.105
Jun-07,252607.102
Jul-07,254023.47
Aug-07,251607.162
Sep-07,254140.753
Oct-07,256396.459
Nov-07,255667.259
Dec-07,257167.405
Jan-08,257231.599
Feb-08,257570.519
Mar-08,258275.594
Apr-08,256841.339
May-08,258924.412
Jun-08,258841.199
Jul-08,261792.978
Aug-08,258970.108
Sep-08,254213.291
Oct-08,258829.715
Nov-08,258066.49
Dec-08,254218.304
Jan-09,250975.046
Feb-09,252987.698
Mar-09,252705.194
Apr-09,253819.14
May-09,253667.86
Jun-09,254493.261
Jul-09,257001.429
Aug-09,255965.879
Sep-09,257195.161
Oct-09,258607.982
Nov-09,259041.852
Dec-09,257534.748
Jan-10,258645.463
Feb-10,260379.498
Mar-10,261508.059
Apr-10,262426.199
May-10,263637.088
Jun-10,263969.419
Jul-10,264724.063
Aug-10,264452.121
Sep-10,265001.119
Oct-10,264403.709
Nov-10,265766.286
Dec-10,265209.664
Jan-11,267452.67
Feb-11,264061.175
Mar-11,261344.433
Apr-11,261170.678
May-11,260615.926
Jun-11,263343.557
Jul-11,264752.947
Aug-11,266250.336
Sep-11,264093.52
Oct-11,265439.388
Nov-11,268440.99
Dec-11,269371.485
Jan-12,269775.376
Feb-12,271319.097
Mar-12,270345.793
Apr-12,271572.966
May-12,270317.295
Jun-12,269508.524
Jul-12,270836.798
Aug-12,271115.445
Sep-12,269054.106
Oct-12,271206.036
Nov-12,272651.372
Dec-12,271611.401
Jan-13,269284.119
Feb-13,268700.315
Mar-13,269371.168
Apr-13,271931.073
May-13,272223.631
Jun-13,272176.054
Jul-13,274724.715
Aug-13,274335.519
Sep-13,272350.412
Oct-13,273115.185
Nov-13,273950.318
Dec-13,274238.339
Jan-14,274616.22
Feb-14,276229.419
Mar-14,274747.452
Apr-14,275404.579
May-14,276738.28
Jun-14,279152.926
Jul-14,279735.969
Aug-14,280945.235
Sep-14,282668.121
Oct-14,286208.991
Nov-14,284521.362
Dec-14,286782.771
Jan-15,283394.16
Feb-15,283112.19
Mar-15,286303.746
Apr-15,286483.845
May-15,287245.415
Jun-15,288889.295
Jul-15,290566.858
Aug-15,290334.316
Sep-15,289666.302
Oct-15,290281.669
Nov-15,291112.31
Dec-15,290975.618
Jan-16,290455.804
Feb-16,287923.562
Mar-16,288423.771
Apr-16,287446.372
May-16,285931.673
Jun-16,287438.83
Jul-16,290606.127
Aug-16,287620.662
Sep-16,288073.258
Oct-16,291784.471
Nov-16,295191.324
Dec-16,291927.675
Jan-17,288973.028
Feb-17,289429.136
Mar-17,287497.239
Apr-17,286877.55
May-17,289741.72
Jun-17,291875.415
Jul-17,294037.9
Aug-17,291783.839
Sep-17,292217.818
Oct-17,293700.468
Nov-17,295432.243
Dec-17,293199.718
Jan-18,294525.3
Feb-18,295367.562
Mar-18,295706.09
Apr-18,295885.005
May-18,295849.443
Jun-18,298371.656
Jul-18,300698.801
Aug-18,302101.64
Sep-18,302215.077
Oct-18,304741.655
Nov-18,305019.179
Dec-18,303033.664
Jan-19,298683.284
Feb-19,298063.441
Mar-19,298013.623
Apr-19,298315.383
May-19,297656.181
Jun-19,298811.568
Jul-19,297266.932
